R_m,Z_m,Br_T,Bz_T,Bp_T,Btor_T,Btotal_T
4.396986663090998,-6.670518150316674,-0.0087887692984418,-0.11329000743480028,0.11363040196337569,4.730512415377215,4.731876961659965
4.396986663090998,-6.566291305025616,-0.0084623754869701,-0.11284306025540028,0.11315992244026316,4.730512415377215,4.731865687029236
4.396986663090998,-6.462064459734559,-0.008231244703095764,-0.1122085722004515,0.11251007539161183,4.730512415377215,4.731850190898123
4.396986663090998,-6.3578376144435005,-0.008201819553232879,-0.11139728831534447,0.1116988168603221,4.730512415377215,4.731830970958913
4.396986663090998,-6.253610769152442,-0.008395511603640127,-0.11042170053024496,0.11074040167471831,4.730512415377215,4.731808443777184
4.396986663090998,-6.149383923861385,-0.008831779605171456,-0.10929565144647961,0.10965190265610844,4.730512415377215,4.731783094330728
4.396986663090998,-6.045157078570327,-0.009528061298096751,-0.10803394126962962,0.10845329141317045,4.730512415377215,4.731755470061437
4.396986663090998,-5.9409302332792695,-0.010499794237707782,-0.10665195838199654,0.10716755995052478,4.730512415377215,4.731726175292028
4.396986663090998,-5.836703387988211,-0.011760514671141415,-0.10516535048948304,0.10582088947323182,4.730512415377215,4.731695866461292
4.396986663090998,-5.732476542697153,-0.013322021834788596,-0.10358974941265851,0.10444286691365748,4.730512415377215,4.731665248565997
4.396986663090998,-5.628249697406096,-0.015194593727229809,-0.10194055866452156,0.1030667413832917,4.730512415377215,4.7316350731240195
4.396986663090998,-5.524022852115038,-0.01738724013463404,-0.10023280933917857,0.10172970159950116,4.730512415377215,4.731606137901325
4.396986663090998,-5.419796006823979,-0.01990797924150998,-0.09848108679912826,0.10047314116030127,4.730512415377215,4.731579288581413
4.396986663090998,-5.315569161532922,-0.022764125244867164,-0.09669952834555412,0.09934286174867635,4.730512415377215,4.73155542250309
4.396986663090998,-5.211342316241864,-0.02596257569404134,-0.09490189051499183,0.09838914655584895,4.730512415377215,4.73153549455121
4.396986663090998,-5.107115470950806,-0.029510088526942483,-0.09310168380185922,0.09766662096954802,4.730512415377215,4.731520525252911
4.396986663090998,-5.0028886256597485,-0.03341353974969092,-0.09131237232048213,0.09723381087563382,4.730512415377215,4.731511611104359
4.396986663090998,-4.89866178036869,-0.03768015326007346,-0.0895476360161068,0.09715231889036809,4.730512415377215,4.731509937124063
4.396986663090998,-4.794434935077632,-0.04231769434846371,-0.08782169332163607,0.0974855736652839,4.730512415377215,4.731516791591342
