R_m,Z_m,Br_T,Bz_T,Bp_T,Bt_T,Btotal_T
1.1981516504787926,-5.1688970437169246e-08,5.051458943725405e-10,0.49750573718903773,0.49750573718903773,17.360072902030495,17.367200209658133
1.2950860448003745,-5.1688970437169246e-08,3.4247770476378224e-10,0.4968965544936363,0.4968965544936363,16.0607089262599,16.068393740505368
1.3920204391219566,-5.1688970437169246e-08,1.559923128214325e-10,0.4965155496582706,0.4965155496582706,14.942309333561221,14.950556374626437
1.4889548334435385,-5.1688970437169246e-08,-5.1363952462896976e-11,0.49650692148112624,0.49650692148112624,13.969530527595243,13.97835120049908
1.5858892277651204,-5.1688970437169246e-08,-2.769303763662183e-10,0.4969075307225684,0.4969075307225684,13.115670146339252,13.125079827630135
1.6828236220867026,-5.1688970437169246e-08,-5.184042044338899e-10,0.49774968520935226,0.49774968520935226,12.36017829022865,12.370196526949993
1.7797580164082845,-5.1688970437169246e-08,-7.737814655635413e-10,0.4990616805189108,0.4990616805189108,11.686982054996621,11.697632756877582
1.8766924107298664,-5.1688970437169246e-08,-1.041433626515193e-09,0.5008681498301968,0.5008681498301968,11.083329309095811,11.094640935036004
1.9736268050514485,-5.1688970437169246e-08,-1.320056682333798e-09,0.5031869094543149,0.5031869094543149,10.538973197345577,10.550978775460342
2.0705611993730306,-5.1688970437169246e-08,-1.6086384052907267e-09,0.5059778713385792,0.5059778713385792,10.045585711882497,10.058320232576714
2.1674955936946123,-5.1688970437169246e-08,-1.9054868814611128e-09,0.5084391230124466,0.5084391230124466,9.596328620232757,9.609788412306902
2.264429988016194,-5.1688970437169246e-08,-2.196435939079594e-09,0.5085478157770379,0.5085478157770379,9.18553459814508,9.199601444337244
2.3613643823377766,-5.1688970437169246e-08,-2.4768697810838872e-09,0.5049476939324821,0.5049476939324821,8.808466899719972,8.822928158897708
2.4582987766593583,-5.1688970437169246e-08,-2.7438792659756953e-09,0.4975882096477622,0.4975882096477622,8.461135886934633,8.475754510576246
2.55523317098094,-5.1688970437169246e-08,-2.9952847495937942e-09,0.4866360444290639,0.4866360444290639,8.140157319582304,8.15469041885018
2.6521675653025225,-5.1688970437169246e-08,-3.2294134092785616e-09,0.4723380618566626,0.4723380618566626,7.8426417214809065,7.856852576966905
2.749101959624104,-5.1688970437169246e-08,-3.4449728867344342e-09,0.45498821592721117,0.45498821592721117,7.5661071526223305,7.579775176190612
2.846036353945686,-5.1688970437169246e-08,-3.641160159370702e-09,0.434910791942896,0.434910791942896,7.3084098069103405,7.321338764371694
2.9429707482672685,-5.1688970437169246e-08,-3.817534623397035e-09,0.41244828326282174,0.41244828326282174,7.067688325562328,7.07971269570005
3.03990514258885,-5.1688970437169246e-08,-3.974052467603128e-09,0.38795139260170586,0.38795139260170586,6.8423187646856185,6.853308132616725
3.136839536910432,-5.1688970437169246e-08,-4.110951032748643e-09,0.36177039291316354,0.3617703929131636,6.630877912386475,6.640739394537581
3.2337739312320144,-5.1688970437169246e-08,-4.228835138260169e-09,0.3342475925742954,0.3342475925742954,6.432113203434584,6.440792009911453
3.330708325553596,-5.1688970437169246e-08,-4.328546213761733e-09,0.3057108297535687,0.3057108297535687,6.244917887411483,6.252396223204389
3.4276427198751778,-5.1688970437169246e-08,-4.411152460468291e-09,0.2764679808253163,0.2764679808253164,6.068310410356148,6.074604989697555
3.5245771141967603,-5.1688970437169246e-08,-4.4779264317383495e-09,0.24680247677931158,0.24680247677931164,5.901417198738253,5.906575692912777
3.621511508518342,-5.1688970437169246e-08,-4.5302976834330675e-09,0.21696980836134983,0.21696980836134988,5.74345820828548,5.747554966075767
3.7184459028399237,-5.1688970437169246e-08,-4.569815694920884e-09,0.1871949787493337,0.18719497874933375,5.593734733135212,5.596866107452653
3.8153802971615063,-5.1688970437169246e-08,-4.598128213796288e-09,0.15767083896707415,0.1576708389670742,5.451619073326554,5.453898661885684
3.912314691483088,-5.1688970437169246e-08,-4.616954107300787e-09,0.12855721974496814,0.12855721974496823,5.3165457383273775,5.31809980599044
4.00924908580467,-5.1688970437169246e-08,-4.628014454204782e-09,0.09998075611438438,0.09998075611438449,5.188003926631905,5.188967228104381
4.106183480126252,-5.1688970437169246e-08,-4.63309091118268e-09,0.0720352887488287,0.07203528874882885,5.065531070560068,5.0660432400083755
4.203117874447834,-5.1688970437169246e-08,-4.6339295198498046e-09,0.04478272233261975,0.04478272233261999,4.948707274295159,4.948909898036267
4.300052268769416,-5.1688970437169246e-08,-4.632303677838086e-09,0.018254267445388602,0.01825426744538919,4.837150504208295,4.837184947740011
4.396986663090998,-5.1688970437169246e-08,-4.62978727835945e-09,-0.007547339600694072,0.007547339600695492,4.730512415377215,4.730518436109622
4.49392105741258,-5.1688970437169246e-08,-4.626849909619582e-09,-0.03263593898829939,0.03263593898829972,4.62847471823989,4.628589776800217
4.5908554517341615,-5.1688970437169246e-08,-4.622191047662798e-09,-0.0570163056904423,0.057016305690442484,4.530746005549566,4.531104746738695
4.687789846055744,-5.1688970437169246e-08,-4.614171461309861e-09,-0.0806671999872034,0.08066719998720354,4.437058973004282,4.43779219061366
4.784724240377326,-5.1688970437169246e-08,-4.601189028327926e-09,-0.10354029951508038,0.10354029951508048,4.347167977722307,4.348400857804847
4.8816586346989075,-5.1688970437169246e-08,-4.581674614686924e-09,-0.12556190727169347,0.12556190727169356,4.260846887603584,4.262696563462951
4.97859302902049,-5.1688970437169246e-08,-4.554102984199713e-09,-0.14663510825274237,0.14663510825274242,4.177887181931856,4.180459682848622
5.075527423342072,-5.1688970437169246e-08,-4.517062480717996e-09,-0.1666423120713615,0.16664231207136154,4.098096269629427,4.101482987325818
5.172461817663653,-5.1688970437169246e-08,-4.469215554301526e-09,-0.18544826196797443,0.18544826196797448,4.02129599661214,4.025569841679034
5.269396211985236,-5.1688970437169246e-08,-4.40935380236429e-09,-0.20290358378316134,0.2029035837831614,3.9473213178941493,3.952532789366036
5.366330606306818,-5.1688970437169246e-08,-4.3364498243791106e-09,-0.2188489282592128,0.21884892825921284,3.8760191136108264,3.8821925535033244
5.463265000628399,-5.1688970437169246e-08,-4.249640774382943e-09,-0.2331197375574842,0.23311973755748422,3.80724713108508,3.8143774759709403
5.560199394949982,-5.1688970437169246e-08,-4.148302525012284e-09,-0.24555164595273754,0.24555164595273757,3.7408730375553576,3.748923404650827
5.657133789271564,-5.1688970437169246e-08,-4.0320826906258095e-09,-0.2559865121406027,0.25598651214060275,3.6767735702920854,3.6856740199855333
5.754068183593145,-5.1688970437169246e-08,-3.900879959629299e-09,-0.26427909149722123,0.26427909149722123,3.614833772618137,3.6244815687023806
5.851002577914728,-5.1688970437169246e-08,-3.754967847494484e-09,-0.2703044274425607,0.2703044274425607,3.5549463058710584,3.5652079492115654
5.94793697223631,-5.1688970437169246e-08,-3.594936216116864e-09,-0.27396628002196505,0.27396628002196505,3.4970108286436,3.5077260808449213
6.044871366557891,-5.1688970437169246e-08,-3.4217867931483396e-09,-0.27520778045415256,0.27520778045415256,3.4409334357505226,3.4519215274522677
6.141805760879474,-5.1688970437169246e-08,-3.2369644939486363e-09,-0.27403017066317326,0.2740301706631733,3.386626150323183,3.397694691476341
6.2387401552010555,-5.1688970437169246e-08,-3.0425951500475884e-09,-0.270564170539098,0.27056417053909804,3.334006463253586,3.344966975531477
