R_m,Z_m,Br_T,Bz_T,Bp_T,Bt_T,Btotal_T
1.1981516504787926,-5.1688970437169246e-08,-3.990454488550649e-07,0.4975003669173829,0.49750036691754296,17.360072902030495,17.367200055820643
1.2950860448003745,-5.1688970437169246e-08,-4.3592676603004615e-07,0.4968911306126239,0.49689113061281515,16.0607089262599,16.06839357277902
1.3920204391219566,-5.1688970437169246e-08,-4.738878352831694e-07,0.4965100760047562,0.49651007600498237,14.942309333561221,14.95055619284464
1.4889548334435385,-5.1688970437169246e-08,-5.130205334688442e-07,0.49650139886686007,0.4965013988671251,13.969530527595243,13.978351004338545
1.5858892277651204,-5.1688970437169246e-08,-5.534132275296362e-07,0.4969019627753805,0.49690196277568865,13.115670146339252,13.125079616832235
1.6828236220867026,-5.1688970437169246e-08,-5.951530871195363e-07,0.4977440796844178,0.49774407968477363,12.36017829022865,12.370196301397197
1.7797580164082845,-5.1688970437169246e-08,-6.383257516982658e-07,0.49905605093343414,0.49905605093384237,11.686982054996621,11.697632516701264
1.8766924107298664,-5.1688970437169246e-08,-6.830145059583347e-07,0.5008625171602593,0.500862517160725,11.083329309095811,11.09464068075027
1.9736268050514485,-5.1688970437169246e-08,-7.292985000744109e-07,0.503181300327319,0.5031813003278475,10.538973197345577,10.550978507956884
2.0705611993730306,-5.1688970437169246e-08,-7.772332352175668e-07,0.5059722665165365,0.5059722665171335,10.045585711882497,10.058319950631033
2.1674955936946123,-5.1688970437169246e-08,-8.265829263364238e-07,0.5084381449880079,0.5084381449886798,9.596328620232757,9.609788360561218
2.264429988016194,-5.1688970437169246e-08,-8.730072207409044e-07,0.5085544432291201,0.5085544432298694,9.18553459814508,9.199601810700784
2.3613643823377766,-5.1688970437169246e-08,-9.157239912611449e-07,0.5049586810442727,0.504958681045103,8.808466899719972,8.822928787711323
2.4582987766593583,-5.1688970437169246e-08,-9.544661478203764e-07,0.49760042356672257,0.49760042356763795,8.461135886934633,8.475755227630621
2.55523317098094,-5.1688970437169246e-08,-9.89098670888738e-07,0.4866473404476223,0.4866473404486275,8.140157319582304,8.154691092954723
2.6521675653025225,-5.1688970437169246e-08,-1.0195592294379954e-06,0.47234724165647524,0.4723472416575756,7.8426417214809065,7.856853128843285
2.749101959624104,-5.1688970437169246e-08,-1.0458442442823497e-06,0.45499483126188583,0.4549948312630878,7.5661071526223305,7.579775573289681
2.846036353945686,-5.1688970437169246e-08,-1.0680043172703927e-06,0.43491493792751895,0.4349149379288303,7.3084098069103405,7.3213390106576055
2.9429707482672685,-5.1688970437169246e-08,-1.0861410440891035e-06,0.4124503952583736,0.41245039525980376,7.067688325562328,7.079712818740601
3.03990514258885,-5.1688970437169246e-08,-1.1004037010034435e-06,0.38795207992521274,0.3879520799267734,6.8423187646856185,6.853308171524788
3.136839536910432,-5.1688970437169246e-08,-1.1109846833326534e-06,0.36177031599034215,0.36177031599204806,6.630877912386475,6.640739390347117
3.2337739312320144,-5.1688970437169246e-08,-1.1181141081204615e-06,0.3342473801206957,0.33424738012256583,6.432113203434584,6.440791998886185
3.330708325553596,-5.1688970437169246e-08,-1.122053434018861e-06,0.3057110285392772,0.3057110285413363,6.244917887411483,6.252396232924118
3.4276427198751778,-5.1688970437169246e-08,-1.1230889586023923e-06,0.276469029792794,0.2764690297950751,6.068310410356148,6.074605037438453
3.5245771141967603,-5.1688970437169246e-08,-1.1215251940431124e-06,0.24680469822909185,0.24680469823164006,5.901417198738253,5.906575785735154
3.621511508518342,-5.1688970437169246e-08,-1.1176786398419033e-06,0.2169734105595671,0.2169734105624458,5.74345820828548,5.74755510205974
3.7184459028399237,-5.1688970437169246e-08,-1.1118720448778788e-06,0.1872000659793305,0.1872000659826325,5.593734733135212,5.596866277604563
3.8153802971615063,-5.1688970437169246e-08,-1.1044294109641614e-06,0.15767742638169846,0.15767742638556637,5.451619073326554,5.453898852330271
3.912314691483088,-5.1688970437169246e-08,-1.0956718606087845e-06,0.12856525124824328,0.1285652512529121,5.3165457383273775,5.318100000146361
4.00924908580467,-5.1688970437169246e-08,-1.0859143433404567e-06,0.09999012394194377,0.0999901239478404,5.188003926631905,5.188967408611772
4.106183480126252,-5.1688970437169246e-08,-1.0754630547388365e-06,0.07204585356209152,0.0720458535701185,5.065531070560068,5.066043390243127
4.203117874447834,-5.1688970437169246e-08,-1.0646138157713041e-06,0.04479433287828234,0.04479433289093352,4.948707274295159,4.948910003113914
4.300052268769416,-5.1688970437169246e-08,-1.0536491468793391e-06,0.01826678268735969,0.01826678271774754,4.837150504208295,4.837184994985557
4.396986663090998,-5.1688970437169246e-08,-1.0428157724785088e-06,-0.007534024446405917,0.007534024518576158,4.730512415377215,4.730518414884718
4.49392105741258,-5.1688970437169246e-08,-1.0321438908239689e-06,-0.032621908971435076,0.03262190898776338,4.62847471823989,4.628589677896696
4.5908554517341615,-5.1688970437169246e-08,-1.0213808225781023e-06,-0.057001670864724095,0.05700167087387487,4.530746005549566,4.531104562607859
4.687789846055744,-5.1688970437169246e-08,-1.0102378764651706e-06,-0.08065211576696667,0.08065211577329372,4.437058973004282,4.437791916448598
4.784724240377326,-5.1688970437169246e-08,-9.98434850129284e-07,-0.10352497568830682,0.10352497569312147,4.347167977722307,4.348400492954451
4.8816586346989075,-5.1688970437169246e-08,-9.857044351306032e-07,-0.12554661436713296,0.12554661437100248,4.260846887603584,4.262696113022974
4.97859302902049,-5.1688970437169246e-08,-9.717938582404906e-07,-0.14662018025346785,0.14662018025668835,4.177887181931856,4.180459159256195
5.075527423342072,-5.1688970437169246e-08,-9.56466576849583e-07,-0.1666281433037888,0.16662814330653392,4.098096269629427,4.101482411676589
5.172461817663653,-5.1688970437169246e-08,-9.395046659713384e-07,-0.18543529548407445,0.18543529548645443,4.02129599661214,4.025569244365444
5.269396211985236,-5.1688970437169246e-08,-9.207117394581577e-07,-0.2028922882922777,0.20289228829436678,3.9473213178941493,3.952532209527321
5.366330606306818,-5.1688970437169246e-08,-8.999164990613489e-07,-0.2188397608696273,0.21883976087147763,3.8760191136108264,3.882192036725481
5.463265000628399,-5.1688970437169246e-08,-8.76976898087969e-07,-0.23311309073169847,0.23311309073334807,3.80724713108508,3.8143770697489816
5.560199394949982,-5.1688970437169246e-08,-8.517846419649986e-07,-0.24554778053919682,0.2455477805406742,3.7408730375553576,3.748923151471246
5.657133789271564,-5.1688970437169246e-08,-8.242703539784448e-07,-0.25598549044516683,0.2559854904464939,3.6767735702920854,3.6856739490244577
5.754068183593145,-5.1688970437169246e-08,-7.944089349208022e-07,-0.2642806868138275,0.2642806868150215,3.614833772618137,3.624481685025335
5.851002577914728,-5.1688970437169246e-08,-7.622255205299065e-07,-0.27030803995986213,0.27030803996093683,3.5549463058710584,3.5652082231047615
5.94793697223631,-5.1688970437169246e-08,-7.27801274023397e-07,-0.273970976015826,0.2739709760167927,3.4970108286436,3.5077264476224754
6.044871366557891,-5.1688970437169246e-08,-6.912803461005624e-07,-0.27521264530506573,0.2752126453059339,3.4409334357505226,3.4519219153106846
6.141805760879474,-5.1688970437169246e-08,-6.528862024314415e-07,-0.2740355149201456,0.2740355149209233,3.386626150323183,3.3976951225044894
6.2387401552010555,-5.1688970437169246e-08,-6.129498511815918e-07,-0.27056990127653213,0.2705699012772264,3.334006463253586,3.344967439078272
6.335674549522637,-5.1688970437169246e-08,-5.722356480702525e-07,-0.2656344640895791,0.2656344640901955,3.2829969149168465,3.2937259163242496
6.43260894384422,-5.1688970437169246e-08,-5.345105042599276e-07,-0.2604478838314796,0.2604478838320281,3.2335247147123516,3.24399679112791
6.5295433381658015,-5.1688970437169246e-08,-4.998032613750911e-07,-0.2555432680696182,0.25554326807010697,3.185521394493551,3.1957548273658434
6.626477732487383,-5.1688970437169246e-08,-4.6787240356650506e-07,-0.25092702126146565,0.25092702126190186,3.1389224924162384,3.14893613517263
6.723412126808966,-5.1688970437169246e-08,-4.3846786745278006e-07,-0.24657057283356232,0.24657057283395217,3.09366726413542,3.103477757060746
6.820346521130547,-5.1688970437169246e-08,-4.113572885921348e-07,-0.24244530989610089,0.24244530989644986,3.0496984186299336,3.0593202141790754
6.917280915452129,-5.1688970437169246e-08,-3.8632996780806454e-07,-0.23852482627644356,0.23852482627675642,3.006961876238977,3.0164074356600077
7.014215309773712,-5.1688970437169246e-08,-3.6319646422287677e-07,-0.23478483080993276,0.23478483081021367,2.965406546761827,2.9746865220316048
7.111149704095293,-5.1688970437169246e-08,-3.417870675727773e-07,-0.23120290637551594,0.23120290637576857,2.92498412570633,2.93410751669918
7.208084098416875,-5.1688970437169246e-08,-3.2194965785274943e-07,-0.22775828484207275,0.2277582848423003,2.8856489069777007,2.894623196662375
7.305018492738458,-5.1688970437169246e-08,-3.035476537131441e-07,-0.2244316528044906,0.22443165280469587,2.84735761048055,2.8561888818392513
7.401952887060039,-5.1688970437169246e-08,-2.864581396171807e-07,-0.22120188482414513,0.22120188482433062,2.8100692232670363,2.818762017872818
