R_m,Z_m,Br_T,Bz_T,Bp_T,Btor_T,Btotal_T
4.396986663090998,-6.670518150316674,-0.008788733231136561,-0.11328955375658277,0.11362994685457589,4.730512415377215,4.731876950731089
4.396986663090998,-6.566291305025616,-0.00846232775975158,-0.11284259307052208,0.11315945299440475,4.730512415377215,4.731865675802724
4.396986663090998,-6.462064459734559,-0.008231184661641675,-0.11220809081012151,0.11250959089867192,4.730512415377215,4.731850179378269
4.396986663090998,-6.3578376144435005,-0.008201745802591495,-0.11139679196184195,0.11169831643135997,4.730512415377215,4.7318309591458965
4.396986663090998,-6.253610769152442,-0.008395422560342106,-0.11042118838588755,0.11073988425367966,4.730512415377215,4.731808431667801
4.396986663090998,-6.149383923861385,-0.008831673463086942,-0.10929512259893806,0.1096513669776875,4.730512415377215,4.731783081917223
4.396986663090998,-6.045157078570327,-0.0095279359886732,-0.10803339470186206,0.10845273594987159,4.730512415377215,4.731755457330079
4.396986663090998,-5.9409302332792695,-0.010499647383194463,-0.10665139294468749,0.10716698284552738,4.730512415377215,4.7317261622213715
4.396986663090998,-5.836703387988211,-0.011760343530093809,-0.10516476486308415,0.10582028845478356,4.730512415377215,4.731695853019996
4.396986663090998,-5.732476542697153,-0.013321823239686129,-0.1035891420552145,0.1044422391859005,4.730512415377215,4.731665234710095
4.396986663090998,-5.628249697406096,-0.015194364014959123,-0.1019399277405225,0.10306608348803224,4.730512415377215,4.731635058793476
4.396986663090998,-5.524022852115038,-0.017386975072024916,-0.10023215262346415,0.10172900924362051,4.730512415377215,4.7316061230157
4.396986663090998,-5.419796006823979,-0.019907673950096995,-0.09848040154926961,0.10047240900570044,4.730512415377215,4.731579273034468
4.396986663090998,-5.315569161532922,-0.022763774131610386,-0.09669881113595646,0.0993420831663115,4.730512415377215,4.731555406156183
4.396986663090998,-5.211342316241864,-0.025962172397780484,-0.09490113702687648,0.09838831335380264,4.730512415377215,4.731535477225399
4.396986663090998,-5.107115470950806,-0.0295096258923398,-0.09310088856610498,0.09766572311770465,4.730512415377215,4.731520506719809
4.396986663090998,-5.0028886256597485,-0.033413009840688804,-0.09131152841444924,0.09723283626428234,4.730512415377215,4.7315115910759395
4.396986663090998,-4.89866178036869,-0.03767954742144089,-0.08954673472053318,0.09715125317253584,4.730512415377215,4.731509915241748
4.396986663090998,-4.794434935077632,-0.042317003314278054,-0.08782072374640061,0.09748440023327955,4.730512415377215,4.731516767414739
4.396986663090998,-4.690208089786575,-0.04733383187254,-0.08614863112417197,0.09829587114577364,4.730512415377215,4.731533555869839
4.396986663090998,-4.585981244495517,-0.052739269537682876,-0.08454694994682159,0.09964746507904113,4.730512415377215,4.731561827698615
4.396986663090998,-4.481754399204458,-0.05854335865022936,-0.08303402315996398,0.1015971153339445,4.730512415377215,4.731603289148632
4.396986663090998,-4.377527553913401,-0.06475688623831316,-0.08163058424368642,0.10419696060465208,4.730512415377215,4.731659827020242
4.396986663090998,-4.273300708622344,-0.07139122662481484,-0.08036032384049532,0.10749180846345899,4.730512415377215,4.7317335302111765
4.396986663090998,-4.169073863331285,-0.07845816360836944,-0.07925038407761459,0.11151819050382361,4.730512415377215,4.731826710568681
4.396986663090998,-4.064847018040227,-0.08597005632640708,-0.07833138258593524,0.11630415333336022,4.730512415377215,4.731941923578582
4.396986663090998,-3.9606201727491697,-0.09393709825189696,-0.07763519002789178,0.12186632495752635,4.730512415377215,4.732081900516582
4.396986663090998,-3.8563933274581115,-0.10226827998276707,-0.07717340847590991,0.12811922598276684,4.730512415377215,4.732247061186092
4.396986663090998,-3.7521664821670537,-0.11065526616205716,-0.0767106308468775,0.13464437906693924,4.730512415377215,4.732428216133056
4.396986663090998,-3.647939636875996,-0.11880894637094905,-0.07608070310478497,0.14108096655003993,4.730512415377215,4.732615719785484
4.396986663090998,-3.5437127915849382,-0.12659880269221088,-0.07525292295796249,0.14727613267878262,4.730512415377215,4.732804450988314
4.396986663090998,-3.43948594629388,-0.13392170106710305,-0.0742160336846065,0.1531112068810809,4.730512415377215,4.7329896211285485
4.396986663090998,-3.3352591010028223,-0.14068640341899855,-0.07296525484428928,0.15848215205967292,4.730512415377215,4.7331664142051295
4.396986663090998,-3.2310322557117646,-0.1468118786714542,-0.07150067606813104,0.1632975027281238,4.730512415377215,4.733330094810124
4.396986663090998,-3.1268054104207064,-0.15222718658077253,-0.06982632871599724,0.16747785679382163,4.730512415377215,4.733476158654887
4.396986663090998,-3.0225785651296486,-0.15687177326438959,-0.06794973580618256,0.17095590028789315,4.730512415377215,4.733600493480752
4.396986663090998,-2.918351719838591,-0.16069594493393805,-0.06588157931692229,0.17367662252445829,4.730512415377215,4.733699534322968
4.396986663090998,-2.814124874547533,-0.16366122891396187,-0.06363537343933647,0.17559743335935193,4.730512415377215,4.733770396907772
4.396986663090998,-2.709898029256475,-0.16574054848561673,-0.06122713489033173,0.1766881191795078,4.730512415377215,4.733810980964193
4.396986663090998,-2.605671183965417,-0.16691818324675126,-0.05867504132140515,0.17693060891904666,4.730512415377215,4.733820038025362
4.396986663090998,-2.501444338674359,-0.16718952375273474,-0.05599908766429719,0.176318560202549,4.730512415377215,4.733797201688078
4.396986663090998,-2.3972174933833017,-0.1665606190336638,-0.05322072996346071,0.17485675826436017,4.730512415377215,4.73374297970947
4.396986663090998,-2.2929906480922435,-0.16504752477184012,-0.05036251329331761,0.17256033199588708,4.730512415377215,4.7336587097314595
4.396986663090998,-2.1887638028011853,-0.16267548558883002,-0.0474477001959964,0.16945382222142646,4.730512415377215,4.733546483336086
4.396986663090998,-2.084536957510128,-0.15947797679696227,-0.044499905870418036,0.16557012624784853,4.730512415377215,4.733409044097468
4.396986663090998,-1.9803101122190698,-0.15549563604627992,-0.04154274806942343,0.1609493483882328,4.730512415377215,4.733249666432627
4.396986663090998,-1.8760832669280125,-0.1507751171726561,-0.03859951914467809,0.1556375881226272,4.730512415377215,4.733072022574198
4.396986663090998,-1.7718564216369543,-0.14536789859910074,-0.035692886677551106,0.14968569772190976,4.730512415377215,4.732880044976892
4.396986663090998,-1.6676295763458961,-0.13932907731600966,-0.03284462793735707,0.14314804004971224,4.730512415377215,4.732677790998247
4.396986663090998,-1.5634027310548388,-0.13271617705650857,-0.030075402115865506,0.13608127521788418,4.730512415377215,4.732469315854346
4.396986663090998,-1.4591758857637807,-0.1255879960479892,-0.027404562956032077,0.12854320216238926,4.730512415377215,4.732258558749737
4.396986663090998,-1.3549490404727225,-0.11800351590411919,-0.024850013081142,0.12059167846856862,4.730512415377215,4.73204924582932
4.396986663090998,-1.2507221951816652,-0.11002088904795732,-0.022428100085812863,0.11228363950443614,4.730512415377215,4.731844812305063
4.396986663090998,-1.146495349890607,-0.10169651773626194,-0.02015355332444851,0.10367423706631859,4.730512415377215,4.731648344865588
