family,n_filaments,I_MA,Imax_MA,utilization_percent
PF1,90,-0.3881732195496077,15.0,2.5878214636640515
PF2,90,-4.37397425389883,15.0,29.159828359325534
PF3,50,1.2828918782328247,7.5,17.10522504310433
PF6,96,6.474193137884974,15.301782825856684,42.31005766821495
PF5,48,3.7531419034757096,8.26068789527687,45.43376957288999
PF4,36,1.5719446463585593,5.828793339133466,26.968611767461486
CS,192,-46.65484580815737,71.78922938585265,64.9886427355237
CS_MID,88,-31.70202215676788,32.90339680184914,96.34878230865895
CS_END,104,-14.95282365138954,38.88583258400352,38.45314001979396
